"SpeciesPLANTS","SPCD","GENUS","FIA_TYPE","LEAF_RETEN","R3_SHADE_TOL","R3_DIA_MEAS"
"2TB",998,"TREE","DECIDUOUS","DECIDUOUS",NA,NA
"2TE",299,"TREE","EVERGREEN","EVERGREEN",NA,NA
"2TREE",999,"TREE","DECIDUOUS","DECIDUOUS",NA,NA
"ABAM",11,"ABIES","EVERGREEN","EVERGREEN",NA,NA
"ABBA",12,"ABIES","EVERGREEN","EVERGREEN",NA,NA
"ABBR",14,"ABIES","EVERGREEN","EVERGREEN",NA,NA
"ABCO",15,"ABIES","EVERGREEN","EVERGREEN","TOL","DBH"
"ABFR",16,"ABIES","EVERGREEN","EVERGREEN",NA,NA
"ABGR",17,"ABIES","EVERGREEN","EVERGREEN",NA,NA
"ABIES",10,"ABIES","EVERGREEN","EVERGREEN",NA,NA
"ABLA",19,"ABIES","EVERGREEN","EVERGREEN",NA,NA
"ABLAA",18,"ABIES","EVERGREEN","EVERGREEN","TOL","DBH"
"ABMA",20,"ABIES","EVERGREEN","EVERGREEN",NA,NA
"ABPR",22,"ABIES","EVERGREEN","EVERGREEN",NA,NA
"ABSH",21,"ABIES","EVERGREEN","EVERGREEN",NA,NA
"ACACI",300,"ACACIA","DECIDUOUS","DECIDUOUS",NA,NA
"ACBA3",311,"ACER","DECIDUOUS","DECIDUOUS",NA,NA
"ACER",310,"ACER","DECIDUOUS","DECIDUOUS",NA,NA
"ACFA",303,"ACACIA","DECIDUOUS","DECIDUOUS",NA,NA
"ACGL",321,"ACER","DECIDUOUS","DECIDUOUS","INT","DRC"
"ACGR",304,"ACACIA","DECIDUOUS","DECIDUOUS",NA,NA
"ACGR3",322,"ACER","DECIDUOUS","DECIDUOUS","INT","DRC"
"ACLE",323,"ACER","DECIDUOUS","DECIDUOUS",NA,NA
"ACMA3",312,"ACER","DECIDUOUS","DECIDUOUS",NA,NA
"ACNE2",313,"ACER","DECIDUOUS","DECIDUOUS","INT","DRC"
"ACNI5",314,"ACER","DECIDUOUS","DECIDUOUS",NA,NA
"ACPE",315,"ACER","DECIDUOUS","DECIDUOUS",NA,NA
"ACPL",320,"ACER","DECIDUOUS","DECIDUOUS",NA,NA
"ACRU",316,"ACER","DECIDUOUS","DECIDUOUS",NA,NA
"ACSA2",317,"ACER","DECIDUOUS","DECIDUOUS",NA,NA
"ACSA3",318,"ACER","DECIDUOUS","DECIDUOUS",NA,NA
"ACSP2",319,"ACER","DECIDUOUS","DECIDUOUS",NA,NA
"ACWR4",906,"ACOELORRAPHE","DECIDUOUS","DECIDUOUS",NA,NA
