SPCD,COMMON_NAME,GENUS,SPECIES,SPECIES_SYMBOL,SCI_SPEICES,TYPE
10,FIR SPP.,ABIES,SPP.,ABIES,ABIES SPP.,EVERGREEN
11,PACIFIC SILVER FIR,ABIES,AMABILIS,ABAM,ABIES AMABILIS,EVERGREEN
12,BALSAM FIR,ABIES,BALSAMEA,ABBA,ABIES BALSAMEA,EVERGREEN
14,SANTA LUCIA OR BRISTLECONE FIR,ABIES,BRACTEATA,ABBR,ABIES BRACTEATA,EVERGREEN
15,WHITE FIR,ABIES,CONCOLOR,ABCO,ABIES CONCOLOR,EVERGREEN
16,FRASER FIR,ABIES,FRASERI,ABFR,ABIES FRASERI,EVERGREEN
17,GRAND FIR,ABIES,GRANDIS,ABGR,ABIES GRANDIS,EVERGREEN
18,CORKBARK FIR,ABIES,LASIOCARPA,ABLAA,ABIES LASIOCARPA,EVERGREEN
19,SUBALPINE FIR,ABIES,LASIOCARPA,ABLA,ABIES LASIOCARPA,EVERGREEN
20,CALIFORNIA RED FIR,ABIES,MAGNIFICA,ABMA,ABIES MAGNIFICA,EVERGREEN
21,SHASTA RED FIR,ABIES,SHASTENSIS,ABSH,ABIES SHASTENSIS,EVERGREEN
22,NOBLE FIR,ABIES,PROCERA,ABPR,ABIES PROCERA,EVERGREEN
40,WHITE-CEDAR SPP.,CHAMAECYPARIS,SPP.,CHAMA4,CHAMAECYPARIS SPP.,EVERGREEN
41,PORT-ORFORD-CEDAR,CHAMAECYPARIS,LAWSONIANA,CHLA,CHAMAECYPARIS LAWSONIANA,EVERGREEN
42,ALASKA YELLOW-CEDAR,CHAMAECYPARIS,NOOTKATENSIS,CHNO,CHAMAECYPARIS NOOTKATENSIS,EVERGREEN
43,ATLANTIC WHITE-CEDAR,CHAMAECYPARIS,THYOIDES,CHTH2,CHAMAECYPARIS THYOIDES,EVERGREEN
50,CYPRESS,CUPRESSUS,SPP.,CUPRE,CUPRESSUS SPP.,EVERGREEN
51,ARIZONA CYPRESS,CUPRESSUS,ARIZONICA,CUAR,CUPRESSUS ARIZONICA,EVERGREEN
52,BAKER OR MODOC CYPRESS,CUPRESSUS,BAKERI,CUBA,CUPRESSUS BAKERI,EVERGREEN
53,TECATE CYPRESS,CUPRESSUS,FORBESII,CUFO2,CUPRESSUS FORBESII,EVERGREEN
54,MONTEREY CYPRESS,CUPRESSUS,MACROCARPA,CUMA2,CUPRESSUS MACROCARPA,EVERGREEN
55,SARGENT'S CYPRESS,CUPRESSUS,SARGENTII,CUSA3,CUPRESSUS SARGENTII,EVERGREEN
56,MACNAB'S CYPRESS,CUPRESSUS,MACNABIANA,CUMA,CUPRESSUS MACNABIANA,EVERGREEN
57,REDCEDAR/JUNIPER SPP.,JUNIPERUS,SPP.,JUNIP,JUNIPERUS SPP.,EVERGREEN
58,PINCHOT JUNIPER,JUNIPERUS,PINCHOTII,JUPI,JUNIPERUS PINCHOTII,EVERGREEN
59,REDBERRY JUNIPER,JUNIPERUS,COAHUILENSIS,JUCO11,JUNIPERUS COAHUILENSIS,EVERGREEN
60,DROOPING JUNIPER,JUNIPERUS,FLACCIDA,JUFL,JUNIPERUS FLACCIDA,EVERGREEN
61,ASHE JUNIPER,JUNIPERUS,ASHEI,JUAS,JUNIPERUS ASHEI,EVERGREEN
62,CALIFORNIA JUNIPER,JUNIPERUS,CALIFORNICA,JUCA7,JUNIPERUS CALIFORNICA,EVERGREEN
63,ALLIGATOR JUNIPER,JUNIPERUS,DEPPEANA,JUDE2,JUNIPERUS DEPPEANA,EVERGREEN
64,WESTERN JUNIPER,JUNIPERUS,OCCIDENTALIS,JUOC,JUNIPERUS OCCIDENTALIS,EVERGREEN
65,UTAH JUNIPER,JUNIPERUS,OSTEOSPERMA,JUOS,JUNIPERUS OSTEOSPERMA,EVERGREEN
66,ROCKY MOUNTAIN JUNIPER,JUNIPERUS,SCOPULORUM,JUSC2,JUNIPERUS SCOPULORUM,EVERGREEN
67,SOUTHERN REDCEDAR,JUNIPERUS,VIRGINIANA,JUVIS,JUNIPERUS VIRGINIANA,EVERGREEN
68,EASTERN REDCEDAR,JUNIPERUS,VIRGINIANA,JUVI,JUNIPERUS VIRGINIANA,EVERGREEN
69,ONESEED JUNIPER,JUNIPERUS,MONOSPERMA,JUMO,JUNIPERUS MONOSPERMA,EVERGREEN
70,LARCH SPP.,LARIX,SPP.,LARIX,LARIX SPP.,EVERGREEN
71,TAMARACK,LARIX,LARICINA,LALA,LARIX LARICINA,EVERGREEN
72,SUBALPINE LARCH,LARIX,LYALLII,LALY,LARIX LYALLII,EVERGREEN
73,WESTERN LARCH,LARIX,OCCIDENTALIS,LAOC,LARIX OCCIDENTALIS,EVERGREEN
74,JAPANESE LARCH,LARIX,KAEMPFERI,LAKA2,LARIX KAEMPFERI,EVERGREEN
75,SIBERIAN LARCH,LARIX,SIBIRICA,LASI3,LARIX SIBIRICA,EVERGREEN
81,INCENSE-CEDAR,CALOCEDRUS,DECURRENS,CADE27,CALOCEDRUS DECURRENS,EVERGREEN
90,SPRUCE SPP.,PICEA,SPP.,PICEA,PICEA SPP.,EVERGREEN
91,NORWAY SPRUCE,PICEA,ABIES,PIAB,PICEA ABIES,EVERGREEN
92,BREWER SPRUCE,PICEA,BREWERIANA,PIBR,PICEA BREWERIANA,EVERGREEN
93,ENGELMANN SPRUCE,PICEA,ENGELMANNII,PIEN,PICEA ENGELMANNII,EVERGREEN
94,WHITE SPRUCE,PICEA,GLAUCA,PIGL,PICEA GLAUCA,EVERGREEN
95,BLACK SPRUCE,PICEA,MARIANA,PIMA,PICEA MARIANA,EVERGREEN
96,BLUE SPRUCE,PICEA,PUNGENS,PIPU,PICEA PUNGENS,EVERGREEN
97,RED SPRUCE,PICEA,RUBENS,PIRU,PICEA RUBENS,EVERGREEN
98,SITKA SPRUCE,PICEA,SITCHENSIS,PISI,PICEA SITCHENSIS,EVERGREEN
100,PINE SPP.,PINUS,SPP.,PINUS,PINUS SPP.,EVERGREEN
101,WHITEBARK PINE,PINUS,ALBICAULIS,PIAL,PINUS ALBICAULIS,EVERGREEN
102,ROCKY MOUNTAIN BRISTLECONE PINE,PINUS,ARISTATA,PIAR,PINUS ARISTATA,EVERGREEN
103,KNOBCONE PINE,PINUS,ATTENUATA,PIAT,PINUS ATTENUATA,EVERGREEN
104,FOXTAIL PINE,PINUS,BALFOURIANA,PIBA,PINUS BALFOURIANA,EVERGREEN
105,JACK PINE,PINUS,BANKSIANA,PIBA2,PINUS BANKSIANA,EVERGREEN
106,COMMON OR TWO-NEEDLE PINYON,PINUS,EDULIS,PIED,PINUS EDULIS,EVERGREEN
107,SAND PINE,PINUS,CLAUSA,PICL,PINUS CLAUSA,EVERGREEN
